decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,2.0,axis_pair,-1.0842021724855044e-18,-3.0357660829594124e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,2.0,axis_pair,-1.0842021724855044e-19,-3.2526065174565133e-19,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,2.0,axis_pair,-8.673617379884035e-19,-4.553649124439119e-18,1.951563910473908e-18,0.0078125,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,2.0,axis_pair,6.505213034913027e-19,-1.3010426069826053e-18,3.2526065174565133e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,1.0,axis_pair,-1.6263032587282567e-18,-4.87890977618477e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,1.0,axis_pair,2.168404344971009e-19,0.0,6.505213034913027e-19,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,1.0,axis_pair,8.673617379884035e-19,0.0,2.3852447794681098e-18,0.015625,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,1.0,axis_pair,-8.131516293641283e-19,-2.439454888092385e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,2.0,axis_pair,8.673617379884035e-19,-1.6263032587282567e-18,4.228388472693467e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,2.0,axis_pair,7.589415207398531e-19,0.0,2.2768245622195593e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,2.0,axis_pair,-1.1926223897340549e-18,-3.0357660829594124e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion_parallel_minus_orthogonal,zero_eye_on_motion:axis_edge_parallel,zero_eye_on_motion:axis_edge_orthogonal,2.0,axis_pair,5.963111948670274e-19,-6.505213034913027e-19,2.439454888092385e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_static_parallel_minus_orthogonal,zero_static:axis_edge_parallel,zero_static:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_static_parallel_minus_orthogonal,zero_static:axis_edge_parallel,zero_static:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_static_parallel_minus_orthogonal,zero_static:axis_edge_parallel,zero_static:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_static_parallel_minus_orthogonal,zero_static:axis_edge_parallel,zero_static:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
